id;ma_nhan_vien;ten_nhan_vien;phong_ban;cap_bac
1;Colorado programming;Borders;Dakota Consultant;Chief systems Fantastic
2;Guiana neural Dollar;olive Pants;Account West;generating Borders
3;incremental Investment;azure Handcrafted;sensor tan;digital Refined
4;Mongolia;navigate Lead;withdrawal grey;deposit redundant
5;Associate grey Loan;Coordinator hacking;override;engage
6;feed Branding Pizza;capacitor Metal;ADP Clothing hacking;Soft
7;Spain green National;Metal panel;mission-critical Account;Awesome synthesizing
8;lavender;Kroon e-tailers;Ecuador;Handmade Kina cross-platform
9;Berkshire transform Representative;Berkshire target Plastic;vortals Outdoors high-level;Producer Customer
10;Steel;invoice Planner Sleek;bus Towels copying;calculate sensor
